corp_code,fiscal_year,company_name,basis,filing_date,receipt_no,period_to,stock_code,corp_cls,first_period,seed_source
00100601,2015,강원에너지,,20150515,20150515001283,,114190,K,Q1,historical_dart_periodic_filing_universe
00100939,2015,강남제비스코,,20150515,20150515001398,,000860,Y,Q1,historical_dart_periodic_filing_universe
00101044,2015,에이프로젠바이오로직스,,20150514,20150514002237,,003060,Y,Q1,historical_dart_periodic_filing_universe
00101220,2015,KG케미칼,,20150515,20150515002644,,001390,Y,Q1,historical_dart_periodic_filing_universe
00101433,2015,경농,,20150514,20150514005377,,002100,Y,Q1,historical_dart_periodic_filing_universe
00101488,2015,경동나비엔,,20150514,20150514002716,,009450,Y,Q1,historical_dart_periodic_filing_universe
00101549,2015,경동제약,,20150515,20150515000051,,011040,K,Q1,historical_dart_periodic_filing_universe
00101628,2015,경방,,20150515,20150515001125,,000050,Y,Q1,historical_dart_periodic_filing_universe
00101664,2015,경보제약,,20150817,20150817000564,,214390,Y,H1,historical_dart_periodic_filing_universe
00101752,2015,케이씨피드,,20150514,20150514004483,,025880,K,Q1,historical_dart_periodic_filing_universe
00102113,2015,경인양행,,20150515,20150515000371,,012610,Y,Q1,historical_dart_periodic_filing_universe
00102140,2015,경인전자,,20150514,20150514000650,,009140,Y,Q1,historical_dart_periodic_filing_universe
00102353,2015,경창산업,,20150515,20150515001859,,024910,K,Q1,historical_dart_periodic_filing_universe
00102432,2015,계룡건설산업,,20150515,20150515002613,,013580,Y,Q1,historical_dart_periodic_filing_universe
00102618,2015,계양전기,,20150515,20150515002339,,012200,Y,Q1,historical_dart_periodic_filing_universe
00102751,2015,고려산업,,20150514,20150514001203,,002140,Y,Q1,historical_dart_periodic_filing_universe
00102858,2015,고려아연,,20150515,20150515001430,,010130,Y,Q1,historical_dart_periodic_filing_universe
00103006,2015,고려제강,,20150515,20150515001128,,002240,Y,Q1,historical_dart_periodic_filing_universe
00103015,2015,고려제약,,20150515,20150515000151,,014570,K,Q1,historical_dart_periodic_filing_universe
00103042,2015,케이씨티시,,20150515,20150515002375,,009070,Y,Q1,historical_dart_periodic_filing_universe
00103130,2015,MDS스피어,,20150515,20150515001113,,009810,Y,Q1,historical_dart_periodic_filing_universe
00103176,2015,흥국화재,,20150515,20150515002751,,000540,Y,Q1,historical_dart_periodic_filing_universe
00103510,2015,인지컨트롤스,,20150515,20150515001196,,023800,Y,Q1,historical_dart_periodic_filing_universe
00103547,2015,우진비앤지,,20150515,20150515002608,,018620,K,Q1,historical_dart_periodic_filing_universe
00103592,2015,광동제약,,20150515,20150515000962,,009290,Y,Q1,historical_dart_periodic_filing_universe
00103644,2015,비츠로테크,,20150515,20150515000042,,042370,K,Q1,historical_dart_periodic_filing_universe
00103662,2015,광명전기,,20150515,20150515001579,,017040,Y,Q1,historical_dart_periodic_filing_universe
00104120,2015,광진실업,,20150515,20150515000467,,026910,K,Q1,historical_dart_periodic_filing_universe
00104388,2015,국도화학,,20150514,20150514002702,,007690,Y,Q1,historical_dart_periodic_filing_universe
00104537,2015,국영지앤엠,,20150515,20150515002069,,006050,K,Q1,historical_dart_periodic_filing_universe
00104573,2015,국일제지,,20150515,20150515002096,,078130,K,Q1,historical_dart_periodic_filing_universe
00104698,2015,LS네트웍스,,20150515,20150515000588,,000680,Y,Q1,historical_dart_periodic_filing_universe
00104722,2015,국제약품,,20150514,20150514001155,,002720,Y,Q1,historical_dart_periodic_filing_universe
00104768,2015,가온전선,,20150515,20150515002702,,000500,Y,Q1,historical_dart_periodic_filing_universe
00104786,2015,미래아이앤지,,20150515,20150515002101,,007120,Y,Q1,historical_dart_periodic_filing_universe
00104810,2015,소노스퀘어,,20150515,20150515002490,,007720,K,Q1,historical_dart_periodic_filing_universe
00104856,2015,삼성증권,,20150515,20150515001829,,016360,Y,Q1,historical_dart_periodic_filing_universe
00104999,2015,윌비스,,20150515,20150515001518,,008600,Y,Q1,historical_dart_periodic_filing_universe
00105040,2015,뉴인텍,,20150512,20150512000213,,012340,K,Q1,historical_dart_periodic_filing_universe
00105101,2015,INVENI,,20150515,20150515001911,,015360,Y,Q1,historical_dart_periodic_filing_universe
00105138,2015,파라텍,,20150515,20150515001220,,033540,K,Q1,historical_dart_periodic_filing_universe
00105156,2015,극동유화,,20150529,20150529000165,,014530,Y,Q1,historical_dart_periodic_filing_universe
00105271,2015,케이씨씨,,20150515,20150515002851,,002380,Y,Q1,historical_dart_periodic_filing_universe
00105280,2015,현대지에프홀딩스,,20150515,20150515002309,,005440,Y,Q1,historical_dart_periodic_filing_universe
00105299,2015,금강공업,,20150515,20150515000656,,014280,Y,Q1,historical_dart_periodic_filing_universe
00105466,2015,KCC건설,,20150515,20150515002457,,021320,K,Q1,historical_dart_periodic_filing_universe
00105475,2015,금강철강,,20150515,20150515000757,,053260,K,Q1,historical_dart_periodic_filing_universe
00105606,2015,금호에이치티,,20160330,20160330003717,,214330,Y,FY,historical_dart_periodic_filing_universe
00105855,2015,엘에스일렉트릭,,20150515,20150515002081,,010120,Y,Q1,historical_dart_periodic_filing_universe
00105873,2015,LG디스플레이,,20150515,20150515002305,,034220,Y,Q1,historical_dart_periodic_filing_universe
00105952,2015,LS,,20150515,20150515001989,,006260,Y,Q1,historical_dart_periodic_filing_universe
00105961,2015,LG이노텍,,20150515,20150515002203,,011070,Y,Q1,historical_dart_periodic_filing_universe
00106119,2015,금양,,20150515,20150515000742,,001570,Y,Q1,historical_dart_periodic_filing_universe
00106313,2015,금호건설,,20150515,20150515002252,,002990,Y,Q1,historical_dart_periodic_filing_universe
00106368,2015,금호석유화학,,20150515,20150515002539,,011780,Y,Q1,historical_dart_periodic_filing_universe
00106395,2015,금호전기,,20150515,20150515002471,,001210,Y,Q1,historical_dart_periodic_filing_universe
00106614,2015,기신정기,,20150629,20150629000456,,092440,Y,Q1,historical_dart_periodic_filing_universe
00106623,2015,현대위아,,20150515,20150515002417,,011210,Y,Q1,historical_dart_periodic_filing_universe
00106641,2015,기아,,20150515,20150515002422,,000270,Y,Q1,historical_dart_periodic_filing_universe
00106669,2015,세아베스틸지주,,20150601,20150601001012,,001430,Y,Q1,historical_dart_periodic_filing_universe
00106881,2015,인디에프,,20150515,20150515001191,,014990,Y,Q1,historical_dart_periodic_filing_universe
00107066,2015,남광토건,,20150515,20150515002251,,001260,Y,Q1,historical_dart_periodic_filing_universe
00107224,2015,남선알미늄,,20150515,20150515001063,,008350,Y,Q1,historical_dart_periodic_filing_universe
00107598,2015,남양유업,,20150515,20150515002470,,003920,Y,Q1,historical_dart_periodic_filing_universe
00107613,2015,이수페타시스,,20150515,20150515001324,,007660,Y,Q1,historical_dart_periodic_filing_universe
00107677,2015,비비안,,20150515,20150515002519,,002070,Y,Q1,historical_dart_periodic_filing_universe
00107987,2015,남해화학,,20150515,20150515000897,,025860,Y,Q1,historical_dart_periodic_filing_universe
00108001,2015,남화토건,,20150515,20150515002259,,091590,K,Q1,historical_dart_periodic_filing_universe
