corp_code,fiscal_year,company_name,basis,filing_date,receipt_no,period_to
00100258,2016,주식회사 에스마크,CFS,20170331,20170331005373,20161231
00100601,2016,(주)웰크론강원,CFS,20170330,20170330001309,20161231
00100717,2016,(주)아이이,CFS,20170810,20170810000569,20161231
00101044,2016,슈넬생명과학(주),CFS,20170330,20170330000533,20161231
00101220,2016,KG케미칼,CFS,20200217,20200217000717,20161231
00101257,2016,경남기업,CFS,20170331,20170331000393,20161231
00101336,2016,경남에너지주식회사,CFS,20170331,20170331000683,20161231
00101488,2016,주식회사 경동나비엔,CFS,20170330,20170330000274,20161231
00101549,2016,경동제약,CFS,20170329,20170329000405,20161231
00101628,2016,(주)경방,CFS,20170331,20170331001034,20161231
00101664,2016,경보제약,OFS,20170331,20170331001705,20161231
00101752,2016,(주)케이씨피드,CFS,20170330,20170330001778,20161231
00102113,2016,(주)경인양행,CFS,20170330,20170330000245,20161231
00102618,2016,계양전기 주식회사,CFS,20170331,20170331000782,20161231
00102751,2016,고려산업주식회사,CFS,20170330,20170330000091,20161231
00102760,2016,두산건설(주),CFS,20170331,20170331003722,20161231
00102858,2016,고려아연(주),CFS,20170331,20170331002299,20161231
00103006,2016,고려제강,CFS,20180312,20180312000319,20161231
00103042,2016,(주)케이씨티시,CFS,20170331,20170331001230,20161231
00103510,2016,인지컨트롤스(주),CFS,20170331,20170331000368,20161231
