corp_code,fiscal_year,company_name,basis,filing_date,receipt_no,period_to
00100601,2015,주식회사 웰크론강원,CFS,20160330,20160330001333,20151231
00100717,2015,인테그레이티드에너지(주),CFS,20160516,20160516003201,20151231
00100957,2015,주식회사 건영,CFS,20160330,20160330002911,20151231
00101044,2015,슈넬생명과학(주),CFS,20160329,20160329000757,20151231
00101220,2015,KG케미칼,CFS,20170210,20170210000636,20151231
00101257,2015,경남기업,CFS,20160331,20160331000005,20151231
00101336,2015,경남에너지주식회사,CFS,20160329,20160329000204,20151231
00101488,2015,주식회사 경동나비엔,CFS,20160330,20160330000365,20151231
00101549,2015,경동제약,CFS,20160329,20160329000958,20151231
00101628,2015,(주)경방,CFS,20160330,20160330001223,20151231
00101664,2015,경보제약,OFS,20160330,20160330003868,20151231
00101752,2015,케이씨피드,CFS,20160330,20160330003444,20151231
00102113,2015,(주)경인양행,CFS,20160510,20160510000950,20151231
00102618,2015,계양전기주식회사,CFS,20160330,20160330003412,20151231
00102751,2015,고려산업주식회사,CFS,20160513,20160513001902,20151231
00102760,2015,두산건설(주),CFS,20160516,20160516003173,20151231
00102858,2015,고려아연(주),CFS,20160330,20160330002726,20151231
00103006,2015,고려제강,CFS,20180312,20180312000314,20151231
00103042,2015,(주)케이씨티시,CFS,20160330,20160330003704,20151231
00103130,2015,(주)고려포리머,CFS,20160518,20160518000054,20151231
