corp_code,company_name,business_year,fiscal_quarter,report_code,annual_reference_basis,statement_basis,basis_matches_annual_reference,basis_comparable_to_immediate_predecessor,statement_fetch_status,operating_profit_cumulative,operating_profit_q,net_income_cumulative,net_income_q,equity_q_end,cfo_cumulative,cfo_q,capex_ppe_cumulative,capex_ppe_q_spend,capex_intangible_cumulative,capex_intangible_q_spend,capex_q_spend,fcf_q,op_pure_method,ni_pure_method,cfo_pure_method,capex_ppe_pure_method,capex_intangible_pure_method,metric_selection_json,signal_date_status,seed_source,modern_oos_protected
00100601,강원에너지,2020,Q1,11013,,CFS,False,True,ok,-2074757019.0,-2074757019.0,-1550023773.0,-1550023773.0,28912695767.0,481321360.0,481321360.0,360738193.0,360738193.0,120000000.0,120000000.0,480738193.0,583167.0,direct_q1,direct_q1,direct_q1,direct_q1,direct_q1,"{""operating_profit"": {""cumulative"": -2074757019.0, ""selection_rule"": ""standard_id"", ""amount_method"": ""q1_thstrm_amount"", ""account_id"": ""dart_OperatingIncomeLoss"", ""account_nm"": ""영업이익(손실)"", ""sj_div"": ""CIS""}, ""net_income"": {""cumulative"": -1550023773.0, ""selection_rule"": ""exact_label_fallback"", ""amount_method"": ""q1_thstrm_amount"", ""account_id"": ""ifrs-full_ProfitLoss"", ""account_nm"": ""당기순이익(손실)"", ""sj_div"": ""CIS""}, ""equity"": {""cumulative"": 28912695767.0, ""selection_rule"": ""exact_label_fallback"", ""amount_method"": ""instant_thstrm_amount"", ""account_id"": ""ifrs-full_Equity"", ""account_nm"": ""자본총계"", ""sj_div"": ""BS""}, ""cfo"": {""cumulative"": 481321360.0, ""selection_rule"": ""exact_label_fallback"", ""amount_method"": ""q1_thstrm_amount"", ""account_id"": ""ifrs-full_CashFlowsFromUsedInOperatingActivities"", ""account_nm"": ""영업활동현금흐름"", ""sj_div"": ""CF""}, ""capex_ppe"": {""cumulative"": 360738193.0, ""selection_rule"": ""exact_label_sum_normalized"", ""row_count"": 1, ""rows"": [{""account_id"": ""ifrs-full_PurchaseOfPropertyPlantAndEquipmentClassifiedAsInvestingActivities"", ""account_nm"": ""유형자산의 취득"", ""raw_cumulative"": 360738193.0, ""normalized_cumulative_spend"": 360738193.0, ""method"": ""q1_thstrm_amount""}]}, ""capex_intangible"": {""cumulative"": 120000000.0, ""selection_rule"": ""exact_label_sum_normalized"", ""row_count"": 1, ""rows"": [{""account_id"": ""ifrs-full_PurchaseOfIntangibleAssetsClassifiedAsInvestingActivities"", ""account_nm"": ""무형자산의 취득"", ""raw_cumulative"": 120000000.0, ""normalized_cumulative_spend"": 120000000.0, ""method"": ""q1_thstrm_amount""}]}}",NOT_ASSIGNED_ACCOUNTING_STAGE,korea_dart_historical_seed_2015_2020.csv,True
00100601,강원에너지,2020,Q2,11012,,CFS,False,True,ok,-3882989263.0,-1808232244.0,-6291837506.0,-4741813733.0,24170882034.0,-721833765.0,-1203155125.0,372381843.0,11643650.0,35450000.0,,,,cumulative_difference,cumulative_difference,cumulative_difference,cumulative_difference,negative_normalized_capex_delta_missing,"{""operating_profit"": {""cumulative"": -3882989263.0, ""selection_rule"": ""standard_id"", ""amount_method"": ""cumulative_thstrm_add_amount"", ""account_id"": ""dart_OperatingIncomeLoss"", ""account_nm"": ""영업이익(손실)"", ""sj_div"": ""CIS""}, ""net_income"": {""cumulative"": -6291837506.0, ""selection_rule"": ""exact_label_fallback"", ""amount_method"": ""cumulative_thstrm_add_amount"", ""account_id"": ""ifrs-full_ProfitLoss"", ""account_nm"": ""당기순이익(손실)"", ""sj_div"": ""CIS""}, ""equity"": {""cumulative"": 24170882034.0, ""selection_rule"": ""exact_label_fallback"", ""amount_method"": ""instant_thstrm_amount"", ""account_id"": ""ifrs-full_Equity"", ""account_nm"": ""자본총계"", ""sj_div"": ""BS""}, ""cfo"": {""cumulative"": -721833765.0, ""selection_rule"": ""exact_label_fallback"", ""amount_method"": ""cumulative_cf_thstrm_amount"", ""account_id"": ""ifrs-full_CashFlowsFromUsedInOperatingActivities"", ""account_nm"": ""영업활동현금흐름"", ""sj_div"": ""CF""}, ""capex_ppe"": {""cumulative"": 372381843.0, ""selection_rule"": ""exact_label_sum_normalized"", ""row_count"": 1, ""rows"": [{""account_id"": ""ifrs-full_PurchaseOfPropertyPlantAndEquipmentClassifiedAsInvestingActivities"", ""account_nm"": ""유형자산의 취득"", ""raw_cumulative"": 372381843.0, ""normalized_cumulative_spend"": 372381843.0, ""method"": ""cumulative_cf_thstrm_amount""}]}, ""capex_intangible"": {""cumulative"": 35450000.0, ""selection_rule"": ""exact_label_sum_normalized"", ""row_count"": 1, ""rows"": [{""account_id"": ""ifrs-full_PurchaseOfIntangibleAssetsClassifiedAsInvestingActivities"", ""account_nm"": ""무형자산의 취득"", ""raw_cumulative"": 35450000.0, ""normalized_cumulative_spend"": 35450000.0, ""method"": ""cumulative_cf_thstrm_amount""}]}}",NOT_ASSIGNED_ACCOUNTING_STAGE,korea_dart_historical_seed_2015_2020.csv,True
00100601,강원에너지,2020,Q3,11014,,CFS,False,True,ok,-4463292784.0,-580303521.0,-6231805855.0,60031651.0,24230913685.0,4215586846.0,4937420611.0,373956953.0,1575110.0,35450000.0,0.0,1575110.0,4935845501.0,cumulative_difference,cumulative_difference,cumulative_difference,cumulative_difference,cumulative_difference,"{""operating_profit"": {""cumulative"": -4463292784.0, ""selection_rule"": ""standard_id"", ""amount_method"": ""cumulative_thstrm_add_amount"", ""account_id"": ""dart_OperatingIncomeLoss"", ""account_nm"": ""영업이익(손실)"", ""sj_div"": ""CIS""}, ""net_income"": {""cumulative"": -6231805855.0, ""selection_rule"": ""exact_label_fallback"", ""amount_method"": ""cumulative_thstrm_add_amount"", ""account_id"": ""ifrs-full_ProfitLoss"", ""account_nm"": ""당기순이익(손실)"", ""sj_div"": ""CIS""}, ""equity"": {""cumulative"": 24230913685.0, ""selection_rule"": ""exact_label_fallback"", ""amount_method"": ""instant_thstrm_amount"", ""account_id"": ""ifrs-full_Equity"", ""account_nm"": ""자본총계"", ""sj_div"": ""BS""}, ""cfo"": {""cumulative"": 4215586846.0, ""selection_rule"": ""exact_label_fallback"", ""amount_method"": ""cumulative_cf_thstrm_amount"", ""account_id"": ""ifrs-full_CashFlowsFromUsedInOperatingActivities"", ""account_nm"": ""영업활동현금흐름"", ""sj_div"": ""CF""}, ""capex_ppe"": {""cumulative"": 373956953.0, ""selection_rule"": ""exact_label_sum_normalized"", ""row_count"": 1, ""rows"": [{""account_id"": ""ifrs-full_PurchaseOfPropertyPlantAndEquipmentClassifiedAsInvestingActivities"", ""account_nm"": ""유형자산의 취득"", ""raw_cumulative"": 373956953.0, ""normalized_cumulative_spend"": 373956953.0, ""method"": ""cumulative_cf_thstrm_amount""}]}, ""capex_intangible"": {""cumulative"": 35450000.0, ""selection_rule"": ""exact_label_sum_normalized"", ""row_count"": 1, ""rows"": [{""account_id"": ""ifrs-full_PurchaseOfIntangibleAssetsClassifiedAsInvestingActivities"", ""account_nm"": ""무형자산의 취득"", ""raw_cumulative"": 35450000.0, ""normalized_cumulative_spend"": 35450000.0, ""method"": ""cumulative_cf_thstrm_amount""}]}}",NOT_ASSIGNED_ACCOUNTING_STAGE,korea_dart_historical_seed_2015_2020.csv,True
00100601,강원에너지,2020,Q4,11011,,CFS,False,True,ok,-9226307671.0,-4763014887.0,-12874762618.0,-6642956763.0,17096337908.0,-4483215389.0,-8698802235.0,388074953.0,14118000.0,147688000.0,112238000.0,126356000.0,-8825158235.0,cumulative_difference,cumulative_difference,cumulative_difference,cumulative_difference,cumulative_difference,"{""operating_profit"": {""cumulative"": -9226307671.0, ""selection_rule"": ""standard_id"", ""amount_method"": ""fy_thstrm_amount"", ""account_id"": ""dart_OperatingIncomeLoss"", ""account_nm"": ""영업이익(손실)"", ""sj_div"": ""CIS""}, ""net_income"": {""cumulative"": -12874762618.0, ""selection_rule"": ""exact_label_fallback"", ""amount_method"": ""fy_thstrm_amount"", ""account_id"": ""ifrs-full_ProfitLoss"", ""account_nm"": ""당기순이익(손실)"", ""sj_div"": ""CIS""}, ""equity"": {""cumulative"": 17096337908.0, ""selection_rule"": ""exact_label_fallback"", ""amount_method"": ""instant_thstrm_amount"", ""account_id"": ""ifrs-full_Equity"", ""account_nm"": ""자본총계"", ""sj_div"": ""BS""}, ""cfo"": {""cumulative"": -4483215389.0, ""selection_rule"": ""exact_label_fallback"", ""amount_method"": ""fy_thstrm_amount"", ""account_id"": ""ifrs-full_CashFlowsFromUsedInOperatingActivities"", ""account_nm"": ""영업활동현금흐름"", ""sj_div"": ""CF""}, ""capex_ppe"": {""cumulative"": 388074953.0, ""selection_rule"": ""exact_label_sum_normalized"", ""row_count"": 1, ""rows"": [{""account_id"": ""ifrs-full_PurchaseOfPropertyPlantAndEquipmentClassifiedAsInvestingActivities"", ""account_nm"": ""유형자산의 취득"", ""raw_cumulative"": 388074953.0, ""normalized_cumulative_spend"": 388074953.0, ""method"": ""fy_thstrm_amount""}]}, ""capex_intangible"": {""cumulative"": 147688000.0, ""selection_rule"": ""exact_label_sum_normalized"", ""row_count"": 1, ""rows"": [{""account_id"": ""ifrs-full_PurchaseOfIntangibleAssetsClassifiedAsInvestingActivities"", ""account_nm"": ""무형자산의 취득"", ""raw_cumulative"": 147688000.0, ""normalized_cumulative_spend"": 147688000.0, ""method"": ""fy_thstrm_amount""}]}}",NOT_ASSIGNED_ACCOUNTING_STAGE,korea_dart_historical_seed_2015_2020.csv,True
00100939,강남제비스코,2020,Q1,11013,,CFS,False,True,ok,-1292148289.0,-1292148289.0,2369068561.0,2369068561.0,559457014894.0,-2942243497.0,-2942243497.0,4214177839.0,4214177839.0,5328016.0,5328016.0,4219505855.0,-7161749352.0,direct_q1,direct_q1,direct_q1,direct_q1,direct_q1,"{""operating_profit"": {""cumulative"": -1292148289.0, ""selection_rule"": ""standard_id"", ""amount_method"": ""q1_thstrm_amount"", ""account_id"": ""dart_OperatingIncomeLoss"", ""account_nm"": ""영업이익(손실)"", ""sj_div"": ""CIS""}, ""net_income"": {""cumulative"": 2369068561.0, ""selection_rule"": ""exact_label_fallback"", ""amount_method"": ""q1_thstrm_amount"", ""account_id"": ""ifrs-full_ProfitLoss"", ""account_nm"": ""당기순이익(손실)"", ""sj_div"": ""CIS""}, ""equity"": {""cumulative"": 559457014894.0, ""selection_rule"": ""exact_label_fallback"", ""amount_method"": ""instant_thstrm_amount"", ""account_id"": ""ifrs-full_Equity"", ""account_nm"": ""자본총계"", ""sj_div"": ""BS""}, ""cfo"": {""cumulative"": -2942243497.0, ""selection_rule"": ""exact_label_fallback"", ""amount_method"": ""q1_thstrm_amount"", ""account_id"": ""ifrs-full_CashFlowsFromUsedInOperatingActivities"", ""account_nm"": ""영업활동으로 인한 현금흐름"", ""sj_div"": ""CF""}, ""capex_ppe"": {""cumulative"": 4214177839.0, ""selection_rule"": ""exact_label_sum_normalized"", ""row_count"": 1, ""rows"": [{""account_id"": ""ifrs-full_PurchaseOfPropertyPlantAndEquipmentClassifiedAsInvestingActivities"", ""account_nm"": ""유형자산의 취득"", ""raw_cumulative"": 4214177839.0, ""normalized_cumulative_spend"": 4214177839.0, ""method"": ""q1_thstrm_amount""}]}, ""capex_intangible"": {""cumulative"": 5328016.0, ""selection_rule"": ""exact_label_sum_normalized"", ""row_count"": 1, ""rows"": [{""account_id"": ""ifrs-full_PurchaseOfIntangibleAssetsClassifiedAsInvestingActivities"", ""account_nm"": ""무형자산의 취득"", ""raw_cumulative"": 5328016.0, ""normalized_cumulative_spend"": 5328016.0, ""method"": ""q1_thstrm_amount""}]}}",NOT_ASSIGNED_ACCOUNTING_STAGE,korea_dart_historical_seed_2015_2020.csv,True
00100939,강남제비스코,2020,Q2,11012,,CFS,False,True,ok,1507285439.0,2799433728.0,9850766787.0,7481698226.0,567340178434.0,13286047380.0,16228290877.0,8361845146.0,4147667307.0,5677136.0,349120.0,4148016427.0,12080274450.0,cumulative_difference,cumulative_difference,cumulative_difference,cumulative_difference,cumulative_difference,"{""operating_profit"": {""cumulative"": 1507285439.0, ""selection_rule"": ""standard_id"", ""amount_method"": ""cumulative_thstrm_add_amount"", ""account_id"": ""dart_OperatingIncomeLoss"", ""account_nm"": ""영업이익(손실)"", ""sj_div"": ""CIS""}, ""net_income"": {""cumulative"": 9850766787.0, ""selection_rule"": ""exact_label_fallback"", ""amount_method"": ""cumulative_thstrm_add_amount"", ""account_id"": ""ifrs-full_ProfitLoss"", ""account_nm"": ""당기순이익"", ""sj_div"": ""CIS""}, ""equity"": {""cumulative"": 567340178434.0, ""selection_rule"": ""exact_label_fallback"", ""amount_method"": ""instant_thstrm_amount"", ""account_id"": ""ifrs-full_Equity"", ""account_nm"": ""자본총계"", ""sj_div"": ""BS""}, ""cfo"": {""cumulative"": 13286047380.0, ""selection_rule"": ""exact_label_fallback"", ""amount_method"": ""cumulative_cf_thstrm_amount"", ""account_id"": ""ifrs-full_CashFlowsFromUsedInOperatingActivities"", ""account_nm"": ""영업활동으로 인한 현금흐름"", ""sj_div"": ""CF""}, ""capex_ppe"": {""cumulative"": 8361845146.0, ""selection_rule"": ""exact_label_sum_normalized"", ""row_count"": 1, ""rows"": [{""account_id"": ""ifrs-full_PurchaseOfPropertyPlantAndEquipmentClassifiedAsInvestingActivities"", ""account_nm"": ""유형자산의 취득"", ""raw_cumulative"": 8361845146.0, ""normalized_cumulative_spend"": 8361845146.0, ""method"": ""cumulative_cf_thstrm_amount""}]}, ""capex_intangible"": {""cumulative"": 5677136.0, ""selection_rule"": ""exact_label_sum_normalized"", ""row_count"": 1, ""rows"": [{""account_id"": ""ifrs-full_PurchaseOfIntangibleAssetsClassifiedAsInvestingActivities"", ""account_nm"": ""무형자산의 취득"", ""raw_cumulative"": 5677136.0, ""normalized_cumulative_spend"": 5677136.0, ""method"": ""cumulative_cf_thstrm_amount""}]}}",NOT_ASSIGNED_ACCOUNTING_STAGE,korea_dart_historical_seed_2015_2020.csv,True
00100939,강남제비스코,2020,Q3,11014,,CFS,False,True,ok,2525344558.0,1018059119.0,15247154496.0,5396387709.0,572683512218.0,23181434754.0,9895387374.0,13581190742.0,5219345596.0,15915234.0,10238098.0,5229583694.0,4665803680.0,cumulative_difference,cumulative_difference,cumulative_difference,cumulative_difference,cumulative_difference,"{""operating_profit"": {""cumulative"": 2525344558.0, ""selection_rule"": ""standard_id"", ""amount_method"": ""cumulative_thstrm_add_amount"", ""account_id"": ""dart_OperatingIncomeLoss"", ""account_nm"": ""영업이익(손실)"", ""sj_div"": ""CIS""}, ""net_income"": {""cumulative"": 15247154496.0, ""selection_rule"": ""exact_label_fallback"", ""amount_method"": ""cumulative_thstrm_add_amount"", ""account_id"": ""ifrs-full_ProfitLoss"", ""account_nm"": ""당기순이익(손실)"", ""sj_div"": ""CIS""}, ""equity"": {""cumulative"": 572683512218.0, ""selection_rule"": ""exact_label_fallback"", ""amount_method"": ""instant_thstrm_amount"", ""account_id"": ""ifrs-full_Equity"", ""account_nm"": ""자본총계"", ""sj_div"": ""BS""}, ""cfo"": {""cumulative"": 23181434754.0, ""selection_rule"": ""exact_label_fallback"", ""amount_method"": ""cumulative_cf_thstrm_amount"", ""account_id"": ""ifrs-full_CashFlowsFromUsedInOperatingActivities"", ""account_nm"": ""영업활동으로 인한 현금흐름"", ""sj_div"": ""CF""}, ""capex_ppe"": {""cumulative"": 13581190742.0, ""selection_rule"": ""exact_label_sum_normalized"", ""row_count"": 1, ""rows"": [{""account_id"": ""ifrs-full_PurchaseOfPropertyPlantAndEquipmentClassifiedAsInvestingActivities"", ""account_nm"": ""유형자산의 취득"", ""raw_cumulative"": 13581190742.0, ""normalized_cumulative_spend"": 13581190742.0, ""method"": ""cumulative_cf_thstrm_amount""}]}, ""capex_intangible"": {""cumulative"": 15915234.0, ""selection_rule"": ""exact_label_sum_normalized"", ""row_count"": 1, ""rows"": [{""account_id"": ""ifrs-full_PurchaseOfIntangibleAssetsClassifiedAsInvestingActivities"", ""account_nm"": ""무형자산의 취득"", ""raw_cumulative"": 15915234.0, ""normalized_cumulative_spend"": 15915234.0, ""method"": ""cumulative_cf_thstrm_amount""}]}}",NOT_ASSIGNED_ACCOUNTING_STAGE,korea_dart_historical_seed_2015_2020.csv,True
00100939,강남제비스코,2020,Q4,11011,,CFS,False,True,ok,2724671498.0,199326940.0,25067503622.0,9820349126.0,582498989188.0,30540525895.0,7359091141.0,21925453034.0,8344262292.0,10976124.0,,,,cumulative_difference,cumulative_difference,cumulative_difference,cumulative_difference,negative_normalized_capex_delta_missing,"{""operating_profit"": {""cumulative"": 2724671498.0, ""selection_rule"": ""standard_id"", ""amount_method"": ""fy_thstrm_amount"", ""account_id"": ""dart_OperatingIncomeLoss"", ""account_nm"": ""영업손실"", ""sj_div"": ""CIS""}, ""net_income"": {""cumulative"": 25067503622.0, ""selection_rule"": ""exact_label_fallback"", ""amount_method"": ""fy_thstrm_amount"", ""account_id"": ""ifrs-full_ProfitLoss"", ""account_nm"": ""당기순이익"", ""sj_div"": ""CIS""}, ""equity"": {""cumulative"": 582498989188.0, ""selection_rule"": ""exact_label_fallback"", ""amount_method"": ""instant_thstrm_amount"", ""account_id"": ""ifrs-full_Equity"", ""account_nm"": ""자본총계"", ""sj_div"": ""BS""}, ""cfo"": {""cumulative"": 30540525895.0, ""selection_rule"": ""exact_label_fallback"", ""amount_method"": ""fy_thstrm_amount"", ""account_id"": ""ifrs-full_CashFlowsFromUsedInOperatingActivities"", ""account_nm"": ""영업활동으로 인한 현금흐름"", ""sj_div"": ""CF""}, ""capex_ppe"": {""cumulative"": 21925453034.0, ""selection_rule"": ""exact_label_sum_normalized"", ""row_count"": 1, ""rows"": [{""account_id"": ""ifrs-full_PurchaseOfPropertyPlantAndEquipmentClassifiedAsInvestingActivities"", ""account_nm"": ""유형자산의 취득"", ""raw_cumulative"": 21925453034.0, ""normalized_cumulative_spend"": 21925453034.0, ""method"": ""fy_thstrm_amount""}]}, ""capex_intangible"": {""cumulative"": 10976124.0, ""selection_rule"": ""exact_label_sum_normalized"", ""row_count"": 1, ""rows"": [{""account_id"": ""ifrs-full_PurchaseOfIntangibleAssetsClassifiedAsInvestingActivities"", ""account_nm"": ""무형자산의 취득"", ""raw_cumulative"": 10976124.0, ""normalized_cumulative_spend"": 10976124.0, ""method"": ""fy_thstrm_amount""}]}}",NOT_ASSIGNED_ACCOUNTING_STAGE,korea_dart_historical_seed_2015_2020.csv,True
00101044,에이프로젠바이오로직스,2020,Q1,11013,,CFS,False,True,ok,-492313602.0,-492313602.0,6680472852.0,6680472852.0,356618630419.0,1423178264.0,1423178264.0,177174198.0,177174198.0,329600000.0,329600000.0,506774198.0,916404066.0,direct_q1,direct_q1,direct_q1,direct_q1,direct_q1,"{""operating_profit"": {""cumulative"": -492313602.0, ""selection_rule"": ""standard_id"", ""amount_method"": ""q1_thstrm_amount"", ""account_id"": ""dart_OperatingIncomeLoss"", ""account_nm"": ""영업이익(손실)"", ""sj_div"": ""CIS""}, ""net_income"": {""cumulative"": 6680472852.0, ""selection_rule"": ""exact_label_fallback"", ""amount_method"": ""q1_thstrm_amount"", ""account_id"": ""ifrs-full_ProfitLoss"", ""account_nm"": ""당기순이익(손실)"", ""sj_div"": ""CIS""}, ""equity"": {""cumulative"": 356618630419.0, ""selection_rule"": ""exact_label_fallback"", ""amount_method"": ""instant_thstrm_amount"", ""account_id"": ""ifrs-full_Equity"", ""account_nm"": ""자본총계"", ""sj_div"": ""BS""}, ""cfo"": {""cumulative"": 1423178264.0, ""selection_rule"": ""exact_label_fallback"", ""amount_method"": ""q1_thstrm_amount"", ""account_id"": ""ifrs-full_CashFlowsFromUsedInOperatingActivities"", ""account_nm"": ""영업활동현금흐름"", ""sj_div"": ""CF""}, ""capex_ppe"": {""cumulative"": 177174198.0, ""selection_rule"": ""exact_label_sum_normalized"", ""row_count"": 1, ""rows"": [{""account_id"": ""ifrs-full_PurchaseOfPropertyPlantAndEquipmentClassifiedAsInvestingActivities"", ""account_nm"": ""유형자산의 취득"", ""raw_cumulative"": 177174198.0, ""normalized_cumulative_spend"": 177174198.0, ""method"": ""q1_thstrm_amount""}]}, ""capex_intangible"": {""cumulative"": 329600000.0, ""selection_rule"": ""exact_label_sum_normalized"", ""row_count"": 1, ""rows"": [{""account_id"": ""ifrs-full_PurchaseOfIntangibleAssetsClassifiedAsInvestingActivities"", ""account_nm"": ""무형자산의 취득"", ""raw_cumulative"": 329600000.0, ""normalized_cumulative_spend"": 329600000.0, ""method"": ""q1_thstrm_amount""}]}}",NOT_ASSIGNED_ACCOUNTING_STAGE,korea_dart_historical_seed_2015_2020.csv,True
00101044,에이프로젠바이오로직스,2020,Q2,11012,,CFS,False,True,ok,-1144092184.0,-651778582.0,12578069833.0,5897596981.0,352401763018.0,2243280823.0,820102559.0,515574198.0,338400000.0,445200000.0,115600000.0,454000000.0,366102559.0,cumulative_difference,cumulative_difference,cumulative_difference,cumulative_difference,cumulative_difference,"{""operating_profit"": {""cumulative"": -1144092184.0, ""selection_rule"": ""standard_id"", ""amount_method"": ""cumulative_thstrm_add_amount"", ""account_id"": ""dart_OperatingIncomeLoss"", ""account_nm"": ""영업이익(손실)"", ""sj_div"": ""CIS""}, ""net_income"": {""cumulative"": 12578069833.0, ""selection_rule"": ""exact_label_fallback"", ""amount_method"": ""cumulative_thstrm_add_amount"", ""account_id"": ""ifrs-full_ProfitLoss"", ""account_nm"": ""당기순이익(손실)"", ""sj_div"": ""CIS""}, ""equity"": {""cumulative"": 352401763018.0, ""selection_rule"": ""exact_label_fallback"", ""amount_method"": ""instant_thstrm_amount"", ""account_id"": ""ifrs-full_Equity"", ""account_nm"": ""자본총계"", ""sj_div"": ""BS""}, ""cfo"": {""cumulative"": 2243280823.0, ""selection_rule"": ""exact_label_fallback"", ""amount_method"": ""cumulative_cf_thstrm_amount"", ""account_id"": ""ifrs-full_CashFlowsFromUsedInOperatingActivities"", ""account_nm"": ""영업활동현금흐름"", ""sj_div"": ""CF""}, ""capex_ppe"": {""cumulative"": 515574198.0, ""selection_rule"": ""exact_label_sum_normalized"", ""row_count"": 1, ""rows"": [{""account_id"": ""ifrs-full_PurchaseOfPropertyPlantAndEquipmentClassifiedAsInvestingActivities"", ""account_nm"": ""유형자산의 취득"", ""raw_cumulative"": 515574198.0, ""normalized_cumulative_spend"": 515574198.0, ""method"": ""cumulative_cf_thstrm_amount""}]}, ""capex_intangible"": {""cumulative"": 445200000.0, ""selection_rule"": ""exact_label_sum_normalized"", ""row_count"": 1, ""rows"": [{""account_id"": ""ifrs-full_PurchaseOfIntangibleAssetsClassifiedAsInvestingActivities"", ""account_nm"": ""무형자산의 취득"", ""raw_cumulative"": 445200000.0, ""normalized_cumulative_spend"": 445200000.0, ""method"": ""cumulative_cf_thstrm_amount""}]}}",NOT_ASSIGNED_ACCOUNTING_STAGE,korea_dart_historical_seed_2015_2020.csv,True
