corp_code,business_year,fiscal_quarter,receipt_no,receipt_date,source_status,statement_basis,period_end,operating_profit_cumulative,operating_profit_q,net_income_cumulative,net_income_q,equity_q_end,cfo_cumulative,cfo_q,capex_ppe_cumulative,capex_ppe_q_spend,capex_intangible_cumulative,capex_intangible_q_spend,capex_q_spend,fcf_q,basis_comparable_to_immediate_predecessor,signal_date_status,source_type,modern_oos_protected
00100601,2015,Q1,20150515001283,20150515,ok,OFS,2015-03-31,132942297.0,132942297.0,-810103145.0,-810103145.0,52042594369.0,-5676701480.0,-5676701480.0,0.0,0.0,0.0,0.0,0.0,-5676701480.0,True,NOT_ASSIGNED_ACCOUNTING_STAGE,ORIGINAL_RECEIPT_XBRL,True
00100601,2015,Q2,20150817000816,20150817,ok,OFS,2015-06-30,-286684231.0,-419626528.0,-345640195.0,464462950.0,54301074783.0,-1945235967.0,3731465513.0,0.0,0.0,0.0,0.0,0.0,3731465513.0,True,NOT_ASSIGNED_ACCOUNTING_STAGE,ORIGINAL_RECEIPT_XBRL,True
00100601,2015,Q3,20151116000261,20151116,ok,CFS,2015-09-30,153474540.0,,-135539888.0,,56573764626.0,3866669067.0,,493239644.0,,0.0,,,,False,NOT_ASSIGNED_ACCOUNTING_STAGE,ORIGINAL_RECEIPT_XBRL,True
00100601,2015,Q4,,,ok,CFS,,447206471.0,293731931.0,102481866.0,238021754.0,56583900588.0,9499050329.0,5632381262.0,0.0,493239644.0,0.0,0.0,493239644.0,5139141618.0,True,NOT_ASSIGNED_ACCOUNTING_STAGE,FY_FULL_API_ACCOUNTING_ONLY,True
00100717,2015,Q1,20150514005164,20150514,ok,CFS,2015-03-31,843842173.0,843842173.0,642706275.0,642706275.0,42999168120.0,-314325536.0,-314325536.0,0.0,0.0,0.0,0.0,0.0,-314325536.0,True,NOT_ASSIGNED_ACCOUNTING_STAGE,ORIGINAL_RECEIPT_XBRL,True
00100717,2015,Q2,20150813000358,20150813,ok,CFS,2015-06-30,842799775.0,-1042398.0,362418805.0,-280287470.0,62151390249.0,652894446.0,967219982.0,0.0,0.0,0.0,0.0,0.0,967219982.0,True,NOT_ASSIGNED_ACCOUNTING_STAGE,ORIGINAL_RECEIPT_XBRL,True
00100717,2015,Q3,20151113000903,20151113,ok,CFS,2015-09-30,394284440.0,-448515335.0,-320197913.0,-682616718.0,65621210621.0,1023390813.0,370496367.0,0.0,0.0,0.0,0.0,0.0,370496367.0,True,NOT_ASSIGNED_ACCOUNTING_STAGE,ORIGINAL_RECEIPT_XBRL,True
00100717,2015,Q4,,,ok,CFS,,-223982683.0,-618267123.0,-12371237076.0,-12051039163.0,56027347742.0,1034112603.0,10721790.0,81173762.0,81173762.0,0.0,0.0,81173762.0,-70451972.0,True,NOT_ASSIGNED_ACCOUNTING_STAGE,FY_FULL_API_ACCOUNTING_ONLY,True
00100957,2015,Q1,20150515000632,20150515,no_xbrl_zip,,,,,,,,,,,,,,,,,,,True
00100957,2015,Q2,20150813001403,20150813,no_xbrl_zip,,,,,,,,,,,,,,,,,,,True
