corp_code,company_name,stock_code,corp_cls,business_year,fiscal_quarter,receipt_no,receipt_date,source_status,source_type,statement_basis,period_end,basis_comparable_to_immediate_predecessor,operating_profit_cumulative,operating_profit_q,net_income_cumulative,net_income_q,equity_q_end,cfo_cumulative,cfo_q,capex_ppe_cumulative_spend,capex_ppe_q_spend,capex_intangible_cumulative_spend,capex_intangible_q_spend,capex_q_spend,fcf_q,op_pure_method,ni_pure_method,cfo_pure_method,capex_ppe_pure_method,capex_intangible_pure_method,signal_date_status,modern_oos_protected
00100601,강원에너지,114190,K,2015,Q1,20150515001283,20150515,ok,EARLIEST_PERIODIC_RECEIPT_XBRL,OFS,2015-03-31,True,132942297.0,132942297.0,-810103145.0,-810103145.0,52042594369.0,-5676701480.0,-5676701480.0,,,,,,,direct_q1,direct_q1,direct_q1,missing,missing,NOT_ASSIGNED_ACCOUNTING_STAGE,True
00100601,강원에너지,114190,K,2015,Q2,20150817000816,20150817,ok,EARLIEST_PERIODIC_RECEIPT_XBRL,OFS,2015-06-30,True,-286684231.0,-419626528.0,-345640195.0,464462950.0,54301074783.0,-1945235967.0,3731465513.0,,,,,,,cumulative_difference,cumulative_difference,cumulative_difference,missing_immediate_predecessor_or_basis_change,missing_immediate_predecessor_or_basis_change,NOT_ASSIGNED_ACCOUNTING_STAGE,True
00100601,강원에너지,114190,K,2015,Q3,20151116000261,20151116,ok,EARLIEST_PERIODIC_RECEIPT_XBRL,CFS,2015-09-30,False,153474540.0,,-135539888.0,,56573764626.0,3866669067.0,,493239644.0,,,,,,missing_immediate_predecessor_or_basis_change,missing_immediate_predecessor_or_basis_change,missing_immediate_predecessor_or_basis_change,missing_immediate_predecessor_or_basis_change,missing_immediate_predecessor_or_basis_change,NOT_ASSIGNED_ACCOUNTING_STAGE,True
00100601,강원에너지,114190,K,2015,Q4,20160330001333,20160330,ok,EARLIEST_PERIODIC_RECEIPT_XBRL,CFS,2015-12-31,True,447206471.0,293731931.0,102481866.0,238021754.0,56583900588.0,9499050329.0,5632381262.0,,,,,,,cumulative_difference,cumulative_difference,cumulative_difference,missing_immediate_predecessor_or_basis_change,missing_immediate_predecessor_or_basis_change,NOT_ASSIGNED_ACCOUNTING_STAGE,True
00100939,강남제비스코,000860,Y,2015,Q1,20150515001398,20150515,ok,EARLIEST_PERIODIC_RECEIPT_XBRL,CFS,2015-03-31,True,8399921888.0,8399921888.0,9796519414.0,9796519414.0,415935767328.0,57329224.0,57329224.0,914471349.0,914471349.0,2920360.0,2920360.0,917391709.0,-860062485.0,direct_q1,direct_q1,direct_q1,direct_q1,direct_q1,NOT_ASSIGNED_ACCOUNTING_STAGE,True
00100939,강남제비스코,000860,Y,2015,Q2,20150817000438,20150817,ok,EARLIEST_PERIODIC_RECEIPT_XBRL,CFS,2015-06-30,True,22083582158.0,13683660270.0,23274742452.0,13478223038.0,429381623340.0,24644199832.0,24586870608.0,3452419782.0,2537948433.0,3558600.0,638240.0,2538586673.0,22048283935.0,cumulative_difference,cumulative_difference,cumulative_difference,cumulative_difference,cumulative_difference,NOT_ASSIGNED_ACCOUNTING_STAGE,True
00100939,강남제비스코,000860,Y,2015,Q3,20151116000718,20151116,ok,EARLIEST_PERIODIC_RECEIPT_XBRL,CFS,2015-09-30,True,30256249329.0,8172667171.0,32666291972.0,9391549520.0,439941485107.0,26996259692.0,2352059860.0,4921864813.0,1469445031.0,5304200.0,1745600.0,1471190631.0,880869229.0,cumulative_difference,cumulative_difference,cumulative_difference,cumulative_difference,cumulative_difference,NOT_ASSIGNED_ACCOUNTING_STAGE,True
00100939,강남제비스코,000860,Y,2015,Q4,20160330001906,20160330,ok,EARLIEST_PERIODIC_RECEIPT_XBRL,CFS,2015-12-31,True,38357571803.0,8101322474.0,43492779318.0,10826487346.0,447881712121.0,36488443163.0,9492183471.0,6132784810.0,1210919997.0,307848040.0,302543840.0,1513463837.0,7978719634.0,cumulative_difference,cumulative_difference,cumulative_difference,cumulative_difference,cumulative_difference,NOT_ASSIGNED_ACCOUNTING_STAGE,True
00101044,에이프로젠바이오로직스,003060,Y,2015,Q1,20150514002237,20150514,ok,EARLIEST_PERIODIC_RECEIPT_XBRL,CFS,2015-03-31,True,-242825492.0,-242825492.0,-220911205.0,-220911205.0,62448512662.0,2101253271.0,2101253271.0,435311850.0,435311850.0,450249600.0,450249600.0,885561450.0,1215691821.0,direct_q1,direct_q1,direct_q1,direct_q1,direct_q1,NOT_ASSIGNED_ACCOUNTING_STAGE,True
00101044,에이프로젠바이오로직스,003060,Y,2015,Q2,20150728000163,20150728,ok,EARLIEST_PERIODIC_RECEIPT_XBRL,CFS,2015-06-30,True,-640567987.0,-397742495.0,1400644322.0,1621555527.0,67150120975.0,2424946311.0,323693040.0,1729382490.0,1294070640.0,1100000000.0,649750400.0,1943821040.0,-1620128000.0,cumulative_difference,cumulative_difference,cumulative_difference,cumulative_difference,cumulative_difference,NOT_ASSIGNED_ACCOUNTING_STAGE,True
