n,median,mean,win,ge20,le_m20,p10,p25,p75,p90,bootstrap_median_ci95,filter
1085,2.499999999999991,5.617941500407426,0.5907834101382489,0.13732718894009216,0.02857142857142857,-12.015824403349743,-4.371584699453557,11.631663974151852,25.010179254183434,"[1.85185185185186, 3.217158176943702]",BASE
111,4.584221748400852,7.671555814113332,0.6846846846846847,0.14414414414414414,0.018018018018018018,-7.784431137724546,-1.018632268632269,12.604626470122316,26.323529411764703,"[2.1929824561403466, 6.979865771812088]",MCAP<=30B
197,5.122494432071267,10.182395575491606,0.6954314720812182,0.17258883248730963,0.030456852791878174,-10.960151802656549,-1.1933174224343701,14.123376623376615,28.427838827838837,"[3.1397174254317095, 7.475083056478415]",MCAP<=40B
327,4.2424242424242475,8.624045840837189,0.6788990825688074,0.1529051987767584,0.024464831804281346,-10.960151802656549,-1.8894527649198578,13.09234558106478,27.441592593914777,"[2.866242038216571, 6.026365348399243]",MCAP<=50B
414,3.8230519480519476,7.67684109312357,0.6570048309178744,0.1473429951690821,0.026570048309178744,-11.142678347934924,-2.777612016640521,12.37149429124309,26.933664001664905,"[2.717391304347827, 5.342759780492123]",MCAP<=60B
529,3.2258064516129004,7.4048923372901845,0.6408317580340265,0.14555765595463138,0.020793950850661626,-10.627351678313074,-3.2928942807625705,12.23776223776223,26.700712914724434,"[2.499999999999991, 4.728789986091786]",MCAP<=75B
666,3.056642084807415,6.575201058081248,0.6186186186186187,0.15165165165165165,0.03153153153153153,-11.884362368233337,-4.024558411756038,11.942583463250887,26.352917944428956,"[2.196462074510852, 4.074889867841414]",MCAP<=100B
824,2.8488224348097058,5.988785775927849,0.6043689320388349,0.1395631067961165,0.027912621359223302,-11.432037608047315,-4.046563192904659,11.72534522734256,24.51342096911591,"[2.0612318467401414, 3.7847222222222254]",MCAP<=150B
34,7.29627799028667,10.662848475428094,0.7647058823529411,0.14705882352941177,0.029411764705882353,-12.464362379479713,1.0643491846499264,12.123822220890702,27.350082644628102,"[2.717391304347827, 10.572696245733791]",MCAP<=40B_CUR>=0_YOY>=0
27,9.317803660565716,14.234619559302265,0.8518518518518519,0.18518518518518517,0.0,-5.111851715286541,2.627053462587803,12.939760741841866,29.946666666666673,"[4.584221748400852, 12.03319502074689]",MCAP<=40B_CUR>=0_YOY>=5
16,9.83068184877116,16.04896264565847,1.0,0.125,0.0,3.6508065263743394,6.7041193015352105,12.546896014723586,20.827008489346156,"[7.0754716981132, 12.154031287605305]",MCAP<=40B_CUR>=0_YOY>=10
28,8.358542141230075,12.267483748902839,0.7857142857142857,0.14285714285714285,0.03571428571428571,-11.885817072693854,2.2931455190771945,12.063404087461493,25.41685950413224,"[5.027673184230819, 11.105439608565648]",MCAP<=40B_CUR>=2_YOY>=0
23,9.562841530054644,15.886471638533418,0.8695652173913043,0.17391304347826086,0.0,-0.2815025858598383,5.087141930101047,12.939760741841866,27.833388429752073,"[6.025492468134419, 12.036215927418361]",MCAP<=40B_CUR>=2_YOY>=5
15,10.098522167487678,17.03914867211545,1.0,0.13333333333333333,0.0,4.986557893761008,8.137735849056604,12.939760741841866,21.454995221228987,"[7.0754716981132, 13.725490196078427]",MCAP<=40B_CUR>=2_YOY>=10
20,9.914164127859182,17.911580455417965,0.9,0.2,0.0,0.8576693196246545,5.338602020951145,14.715886354541812,34.56111498257848,"[5.807777289967831, 12.939760741841866]",MCAP<=40B_CUR>=5_YOY>=0
19,10.26548672566372,19.57940520482321,0.9473684210526315,0.21052631578947367,0.0,2.377994676131321,5.807777289967831,15.706282513005199,40.32222996515676,"[6.025492468134419, 13.725490196078427]",MCAP<=40B_CUR>=5_YOY>=5
13,10.26548672566372,18.339479708933144,1.0,0.15384615384615385,0.0,4.78538982108093,9.200000000000008,13.725490196078427,22.71096868499467,"[9.200000000000008, 13.725490196078427]",MCAP<=40B_CUR>=5_YOY>=10
56,6.890793048267641,10.694028888019574,0.7678571428571429,0.17857142857142858,0.017857142857142856,-11.896922535486642,1.152231227419187,13.029178764741728,33.06935817805383,"[3.4120734908136496, 9.562841530054644]",MCAP<=50B_CUR>=0_YOY>=0
42,9.258901830282863,13.697770472961,0.8333333333333334,0.21428571428571427,0.0,-1.394535328924464,2.3738696268564228,16.392773207990597,34.191511387163565,"[5.086440730463967, 11.989293756107234]",MCAP<=50B_CUR>=0_YOY>=5
26,10.1820044465757,17.63906520503336,1.0,0.23076923076923078,0.0,3.0647323975807383,7.0758345428156675,17.515306122448976,38.41829085457272,"[8.2252358490566, 15.7855464159812]",MCAP<=50B_CUR>=0_YOY>=10
45,7.0769230769230695,11.000798078794778,0.7777777777777778,0.15555555555555556,0.022222222222222223,-9.996495327102801,1.2499999999999956,12.154031287605305,28.538106355382627,"[4.584221748400852, 9.562841530054644]",MCAP<=50B_CUR>=2_YOY>=0
35,9.375,14.423841678452803,0.8285714285714286,0.2,0.0,-1.1663766098155202,3.0647323975807383,15.7855464159812,32.20322981366461,"[5.590062111801242, 12.154031287605305]",MCAP<=50B_CUR>=2_YOY>=5
24,10.1820044465757,17.263489779495785,1.0,0.20833333333333334,0.0,3.7637179680898107,7.0765602322206025,17.171768707482986,32.574014549145666,"[9.200000000000008, 14.571092831962407]",MCAP<=50B_CUR>=2_YOY>=10
29,9.317803660565716,14.740698104772509,0.8275862068965517,0.1724137931034483,0.0,-0.8621649843369281,2.717391304347827,13.725490196078427,31.512906403940878,"[4.584221748400852, 12.03319502074689]",MCAP<=50B_CUR>=5_YOY>=0
26,9.468920765027322,17.135968732392506,0.8846153846153846,0.19230769230769232,0.0,0.20671394506208696,4.835681839250949,14.359692172991412,35.58226600985222,"[6.025492468134419, 12.879342608412658]",MCAP<=50B_CUR>=5_YOY>=5
18,9.914164127859182,17.451131765199264,1.0,0.16666666666666666,0.0,4.024172615184945,7.607692307692304,14.359692172991412,29.486219110043578,"[8.138461538461538, 14.148291514020418]",MCAP<=50B_CUR>=5_YOY>=10
76,5.122830214539675,8.494571642701082,0.6710526315789473,0.17105263157894737,0.02631578947368421,-12.310169183190828,-2.3028242337476383,12.063404087461493,36.19124872531752,"[1.724137931034475, 8.088858043570314]",MCAP<=60B_CUR>=0_YOY>=0
54,6.36580343327825,11.525757486194324,0.7407407407407407,0.2037037037037037,0.0,-11.015728288123999,-0.25106371119079374,14.359692172991412,36.878928339668136,"[2.627053462587803, 9.83068184877116]",MCAP<=60B_CUR>=0_YOY>=5
30,9.468920765027322,15.456928892721576,0.9666666666666667,0.2,0.0,2.207246090859756,4.63180026355528,16.392773207990597,35.26129792246736,"[6.3327669049572215, 12.948820321454718]",MCAP<=60B_CUR>=0_YOY>=10
60,5.122830214539675,8.197505348579158,0.6666666666666666,0.13333333333333333,0.016666666666666666,-11.874711609901064,-1.595067160722552,10.685463167114683,28.210739299610907,"[1.7847938144329833, 7.51708428246014]",MCAP<=60B_CUR>=2_YOY>=0
45,7.0754716981132,11.511092571187204,0.7333333333333333,0.17777777777777778,0.0,-10.731251424663776,-0.4672897196261627,13.725490196078427,32.20322981366461,"[2.717391304347827, 10.098522167487678]",MCAP<=60B_CUR>=2_YOY>=5
28,9.468920765027322,14.979140219952809,0.9642857142857143,0.17857142857142858,0.0,2.5980502017032703,4.726957293864137,15.178319623971802,30.0433010287519,"[6.3327669049572215, 12.939760741841866]",MCAP<=60B_CUR>=2_YOY>=10
35,6.025492468134419,12.245202615405832,0.7714285714285715,0.14285714285714285,0.0,-2.57170636849781,0.7090112386903047,12.093613154176097,26.866776859504146,"[2.717391304347827, 9.580407659944935]",MCAP<=60B_CUR>=5_YOY>=0
31,9.200000000000008,14.521292541076093,0.8387096774193549,0.16129032258064516,0.0,-0.6069802731411222,2.518489466606899,12.939760741841866,28.800000000000004,"[4.584221748400852, 11.945392491467576]",MCAP<=60B_CUR>=5_YOY>=5
22,9.346401830282858,14.509661055653025,0.9545454545454546,0.13636363636363635,0.0,2.3593679964141567,4.63180026355528,13.332625468960146,23.338955416877514,"[5.087141930101047, 12.154031287605305]",MCAP<=60B_CUR>=5_YOY>=10
97,4.774535809018565,9.348572000094864,0.6907216494845361,0.17525773195876287,0.020618556701030927,-11.891369804090248,-1.5452538631346546,12.03319502074689,35.847408918142236,"[2.3809523809523725, 7.51708428246014]",MCAP<=75B_CUR>=0_YOY>=0
64,5.807777289967831,11.799920038597328,0.765625,0.203125,0.0,-7.514256269323251,0.6529091135841714,13.936890855049421,36.878928339668136,"[2.5367156208277786, 9.44032259531018]",MCAP<=75B_CUR>=0_YOY>=5
37,9.375,15.819579615065829,0.9459459459459459,0.21621621621621623,0.0,1.7680616597025178,3.2258064516129004,16.999999999999993,37.62904262154636,"[4.774535809018565, 12.154031287605305]",MCAP<=75B_CUR>=0_YOY>=10
76,5.122830214539675,9.816454687706274,0.7105263157894737,0.15789473684210525,0.013157894736842105,-10.446774561203554,-0.6327499977552498,11.740860758245953,28.47263294422828,"[2.499999999999991, 8.358542141230075]",MCAP<=75B_CUR>=2_YOY>=0
53,6.025492468134419,12.228842300511843,0.7735849056603774,0.18867924528301888,0.0,-7.880669219915337,0.7380073800737907,13.725490196078427,33.33763975155283,"[2.717391304347827, 10.098522167487678]",MCAP<=75B_CUR>=2_YOY>=5
34,9.468920765027322,16.021544268660794,0.9705882352941176,0.20588235294117646,0.0,2.3379970544918915,3.7051105552104504,16.392773207990597,32.574014549145666,"[5.590062111801242, 12.154031287605305]",MCAP<=75B_CUR>=2_YOY>=10
45,6.025492468134419,14.518266777784948,0.8,0.17777777777777778,0.0,-1.5153876119984377,2.149321266968318,12.154031287605305,36.93871921182268,"[2.9096477794793296, 10.106382978723394]",MCAP<=75B_CUR>=5_YOY>=0
37,9.200000000000008,15.55342291213911,0.8648648648648649,0.1891891891891892,0.0,-0.5231659410321465,2.3809523809523725,13.725490196078427,34.22581280788175,"[3.2258064516129004, 11.945392491467576]",MCAP<=75B_CUR>=5_YOY>=5
28,9.346401830282858,15.876040078576963,0.9642857142857143,0.17857142857142858,0.0,2.2685077202966752,3.0987026647966323,13.936890855049421,29.84683606542169,"[4.679378778709708, 12.093613154176097]",MCAP<=75B_CUR>=5_YOY>=10
115,4.584221748400852,8.206542633052322,0.6956521739130435,0.17391304347826086,0.034782608695652174,-12.38726578133527,-1.7568789000712626,11.989293756107234,33.34989648033129,"[2.319587628865971, 7.0754716981132]",MCAP<=100B_CUR>=0_YOY>=0
75,5.590062111801242,10.123059206329328,0.76,0.2,0.02666666666666667,-11.902475266883037,0.567810847094552,14.148291514020418,36.53508853249285,"[2.499999999999991, 9.317803660565716]",MCAP<=100B_CUR>=0_YOY>=5
43,9.375,14.639985308023835,0.9302325581395349,0.23255813953488372,0.023255813953488372,1.336248143870642,2.9715988779803637,17.34353741496598,40.78603555365178,"[5.590062111801242, 12.03319502074689]",MCAP<=100B_CUR>=0_YOY>=10
91,4.584221748400852,8.489457366556458,0.7142857142857143,0.16483516483516483,0.03296703296703297,-11.924686192468615,-0.6585197223693773,11.80903800265316,28.14526588845656,"[2.3809523809523725, 7.0769230769230695]",MCAP<=100B_CUR>=2_YOY>=0
64,5.706164865910834,10.190049998931222,0.765625,0.1875,0.03125,-11.908027998279431,0.6529091135841714,13.936890855049421,32.77043478260872,"[2.499999999999991, 9.562841530054644]",MCAP<=100B_CUR>=2_YOY>=5
