corp_code,corp_name,stock_code,corp_cls,report_nm,rcept_no,rcept_dt,flr_nm,rm
02042763,아이에이알제이차유동화전문유한회사,,E,[기재정정]자산양도등의등록신청서,20260904000152,20260904,신한캐피탈,
01194731,삼성액티브자산운용,,E,[기재정정]일괄신고서(집합투자증권-신탁형)(삼성코스닥벤처플러스증권투자신탁제1호[주식]),20260901000126,20260901,삼성액티브자산운용,
01194731,삼성액티브자산운용,,E,[기재정정]일괄신고서(집합투자증권-신탁형)(삼성액티브KoAct코스닥액티브증권상장지수투자신탁[주식]),20260901000118,20260901,삼성액티브자산운용,
01194731,삼성액티브자산운용,,E,[기재정정]일괄신고서(집합투자증권-신탁형)(삼성액티브KoActK수출핵심기업TOP30액티브증권상장지수투자신탁[주식]),20260901000111,20260901,삼성액티브자산운용,
01194731,삼성액티브자산운용,,E,[기재정정]일괄신고서(집합투자증권-신탁형)(삼성액티브코스닥FOCUS증권투자신탁[주식]),20260901000097,20260901,삼성액티브자산운용,
01194731,삼성액티브자산운용,,E,[기재정정]일괄신고서(집합투자증권-신탁형)(삼성뉴딜코리아증권투자신탁제1호[주식]),20260901000083,20260901,삼성액티브자산운용,
01194731,삼성액티브자산운용,,E,[기재정정]일괄신고서(집합투자증권-신탁형)(삼성중소형FOCUS증권자투자신탁제1호[주식]),20260901000081,20260901,삼성액티브자산운용,
01194731,삼성액티브자산운용,,E,[기재정정]일괄신고서(집합투자증권-신탁형)(삼성통일코리아증권자투자신탁제1호[주식]),20260901000079,20260901,삼성액티브자산운용,
00243395,한화자산운용,,E,증권발행실적보고서(집합투자증권)(한화K방산조선원전증권자투자신탁(주식)),20260901000017,20260901,한화자산운용,
01310269,IPARK현대산업개발,294870,Y,불성실공시법인지정              ,20260907800650,20260907,유가증권시장본부,유
00164636,HDC,012630,Y,불성실공시법인지정              ,20260907800647,20260907,유가증권시장본부,유
00136004,신라에스지,025870,K,기타시장안내              (시가총액 미달에 따른 상장폐지 우려 관련 안내),20260907900665,20260907,코스닥시장본부,코
00407814,CG인바이츠,083790,K,[기재정정]단일판매ㆍ공급계약체결              ,20260907900644,20260907,CG인바이츠,코
01095704,케이엠제약,225430,K,기타시장안내              (시가총액 미달에 따른 상장폐지 우려 관련 안내),20260907900649,20260907,코스닥시장본부,코
01223219,에이에프더블류,312610,K,기타시장안내              (시가총액 미달에 따른 상장폐지 우려 관련 안내),20260907900635,20260907,코스닥시장본부,코
01335453,조이웍스앤코,309930,K,기타시장안내(관리종목지정우려종목)              (시가총액 200억원 미달),20260907900606,20260907,코스닥시장본부,코
01288827,HPSP,403870,K,[기재정정]주요사항보고서(자기주식처분결정),20260907000328,20260907,HPSP,
00346610,시지메드텍,056090,K,"주권매매거래정지              (주식의 병합, 분할 등 전자등록 변경, 말소)",20260907900642,20260907,코스닥시장본부,코
01310269,IPARK현대산업개발,294870,Y,기업설명회(IR)개최(안내공시)              ,20260907800640,20260907,IPARK현대산업개발,유
01043853,베노티앤알,206400,K,주요사항보고서(소송등의제기),20260907000327,20260907,베노티앤알,
01415892,제이알글로벌리츠,348950,Y,기타경영사항(자율공시)              ,20260907800634,20260907,제이알글로벌리츠,유
00502410,오릭스캐피탈코리아,,E,투자설명서(일괄신고),20260907000331,20260907,오릭스캐피탈코리아,
01359815,한울반도체,320000,K,[기재정정]최대주주변경을수반하는주식담보제공계약체결              ,20260907900631,20260907,한울반도체,코
01440153,넥사다이내믹스,351320,K,주식등의대량보유상황보고서(약식),20260907000330,20260907,세종메디칼,
00180865,디에이치엑스컴퍼니,031860,K,주권매매거래정지기간변경              (풍문사유(현직 임원의 횡령·배임혐의설) 미해소),20260907900627,20260907,코스닥시장본부,코
00180865,디에이치엑스컴퍼니,031860,K,조회공시요구(풍문또는보도)에대한답변(미확정)              ,20260907900620,20260907,디에이치엑스컴퍼니,코
01440153,넥사다이내믹스,351320,K,주식등의대량보유상황보고서(약식),20260907000326,20260907,세종메디칼,
00502410,오릭스캐피탈코리아,,E,일괄신고추가서류,20260907000325,20260907,오릭스캐피탈코리아,
00180865,디에이치엑스컴퍼니,031860,K,조회공시요구(현저한시황변동)에대한답변(미확정)              ,20260907900621,20260907,디에이치엑스컴퍼니,코
02040941,뉴지스탁,,E,소액공모공시서류(지분증권),20260907000324,20260907,뉴지스탁,
00475718,이엠앤아이,083470,K,의결권대리행사권유참고서류,20260907000323,20260907,이엠앤아이,
00131832,SK디스커버리,006120,Y,신탁계약해지결과보고서,20260907000322,20260907,SK디스커버리,
01423837,모아데이타,288980,K,주식등의대량보유상황보고서(일반),20260907000321,20260907,한상진,
00469799,이엔플러스,074610,Y,주주명부폐쇄기간또는기준일설정              ,20260907800600,20260907,이엔플러스,유
00475718,이엠앤아이,083470,K,주주총회소집공고,20260907000319,20260907,이엠앤아이,
00149594,한국캐피탈,023760,K,주요사항보고서(자본으로인정되는채무증권발행결정),20260907000318,20260907,한국캐피탈,
00131832,SK디스커버리,006120,Y,주요사항보고서(자기주식취득신탁계약해지결정),20260907000315,20260907,SK디스커버리,
01546101,아이엠티,451220,K,주식등의대량보유상황보고서(약식),20260907000317,20260907,씨스퀘어자산운용,
01155042,케이지모빌리티커머셜,,E,특수관계인으로부터자금차입,20260907000316,20260907,케이지모빌리티커머셜,공
01221752,지에프씨생명과학,388610,K,[기재정정]반기보고서 (2026.06),20260907000314,20260907,지에프씨생명과학,
01423837,모아데이타,288980,K,임원ㆍ주요주주특정증권등소유상황보고서,20260907000313,20260907,한상진,
00838005,서진시스템,178320,K,주식등의대량보유상황보고서(일반),20260907000312,20260907,전동규,
00131832,SK디스커버리,006120,Y,임시주주총회결과              ,20260907800593,20260907,SK디스커버리,유
00382834,한국남부발전,,E,[기재정정]반기보고서 (2026.06),20260907000310,20260907,한국남부발전,
00260745,서울평가정보,036120,K,주식등의대량보유상황보고서(일반),20260907000309,20260907,진원홀딩스컴퍼니,
00107066,남광토건,001260,Y,투자판단관련주요경영사항              ,20260907800560,20260907,남광토건,유
00131832,SK디스커버리,006120,Y,독립이사의선임ㆍ해임또는중도퇴임에관한신고,20260907000308,20260907,SK디스커버리,
00795135,코오롱인더,120110,Y,주식등의대량보유상황보고서(일반),20260907000307,20260907,코오롱,
00254045,우리은행,000030,E,투자설명서(일괄신고),20260907000306,20260907,우리은행,
00120571,롯데칠성음료,005300,Y,기업설명회(IR)개최(안내공시)              ,20260907800590,20260907,롯데칠성음료,유
00122825,프리티,006490,Y,최대주주등소유주식변동신고서              ,20260907800588,20260907,프리티,유
01784394,STX그린로지스,465770,Y,유형자산처분결정              ,20260907800547,20260907,STX그린로지스,유
00469799,이엔플러스,074610,Y,주주총회소집결의              ,20260907800543,20260907,이엔플러스,유
01749559,엠에스바이오,,E,증권신고서(지분증권),20260907000305,20260907,엠에스바이오,
00500254,GS,078930,Y,최대주주등소유주식변동신고서              ,20260907800562,20260907,GS,유
01854763,HS효성,487570,Y,타인에대한채무보증결정(자회사의 주요경영사항)              ,20260907800518,20260907,HS효성,유
01854763,HS효성,487570,Y,타인에대한채무보증결정(자회사의 주요경영사항)              ,20260907800517,20260907,HS효성,유
00958822,우리카드,,E,투자설명서(일괄신고),20260907000304,20260907,우리카드,
00173449,빌리언스,044480,K,주권매매거래정지해제              (액면병합 주권 변경상장),20260907900556,20260907,코스닥시장본부,코
00148531,제이스코홀딩스,023440,K,[기재정정]최대주주변경을수반하는주식담보제공계약체결              ,20260907900538,20260907,제이스코홀딩스,코
00152862,코오롱,002020,Y,주식등의대량보유상황보고서(일반),20260907000303,20260907,이웅열,
02040941,뉴지스탁,,E,소액공모감사보고,20260907000302,20260907,뉴지스탁,
01423837,모아데이타,288980,K,[기재정정]최대주주변경을수반하는주식담보제공계약체결              ,20260907900494,20260907,모아데이타,코
01327746,보로노이,310210,K,[기재정정]투자판단관련주요경영사항(임상시험계획변경승인)              (VRN110755의 제 1/2상 임상시험),20260907900489,20260907,보로노이,코
00210740,대화제약,067080,K,단일판매ㆍ공급계약해지              ,20260907900530,20260907,대화제약,코
01075126,사토시홀딩스,223310,K,기타시장안내              (최대주주의 의무보유 관련),20260907900524,20260907,코스닥시장본부,코
01075126,사토시홀딩스,223310,K,최대주주변경              ,20260907900516,20260907,사토시홀딩스,코
01075126,사토시홀딩스,223310,K,증권발행결과(자율공시)              (제3자배정 유상증자),20260907900512,20260907,사토시홀딩스,코
00218690,첨단,,E,감사보고서 (2026.06),20260907000301,20260907,오성회계법인,
00264945,나이스정보통신,036800,K,기업설명회(IR)개최              ,20260907900546,20260907,나이스정보통신,코
01182578,DH오토리드,290120,K,전환사채(해외전환사채포함)발행후만기전사채취득              ,20260907900545,20260907,DH오토리드,코
01480647,슈퍼코믹스스튜디오,,E,특수관계인으로부터자금차입,20260907000300,20260907,슈퍼코믹스스튜디오,공
00158909,하나은행,004940,E,투자설명서(일괄신고),20260907000299,20260907,하나은행,
00377610,세아홀딩스,058650,Y,주식등의대량보유상황보고서(일반),20260907000298,20260907,이태성,
00180795,인팩,023810,Y,[기재정정]금전대여결정              ,20260907800522,20260907,인팩,유
00254045,우리은행,000030,E,일괄신고추가서류,20260907000295,20260907,우리은행,
00958822,우리카드,,E,일괄신고추가서류,20260907000294,20260907,우리카드,
00684918,아이비케이투자증권,,E,증권발행실적보고서,20260907000293,20260907,아이비케이투자증권,
00483735,해성옵틱스,076610,K,주주총회소집결의              (임시주주총회),20260907900502,20260907,해성옵틱스,코
00130587,서울전자통신,027040,K,[기재정정]소액공모공시서류(지분증권),20260907000292,20260907,서울전자통신,
00130587,서울전자통신,027040,K,[기재정정]주요사항보고서(유상증자결정),20260907000272,20260907,서울전자통신,
00110893,대신증권,003540,Y,증권발행실적보고서,20260907000290,20260907,대신증권,
00158219,시그네틱스,033170,K,임원ㆍ주요주주특정증권등소유상황보고서,20260907000289,20260907,테라닉스,
00110893,대신증권,003540,Y,증권발행실적보고서,20260907000288,20260907,대신증권,
00684918,아이비케이투자증권,,E,증권발행실적보고서,20260907000286,20260907,아이비케이투자증권,
00132868,우성머티리얼스,011300,Y,주식등의대량보유상황보고서(일반),20260907000285,20260907,더블유에스,
01316254,HS효성첨단소재,298050,Y,타인에대한채무보증결정              ,20260907800498,20260907,HS효성첨단소재,유
00110893,대신증권,003540,Y,증권발행실적보고서,20260907000284,20260907,대신증권,
01316254,HS효성첨단소재,298050,Y,타인에대한채무보증결정              ,20260907800491,20260907,HS효성첨단소재,유
00125080,AK홀딩스,006840,Y,주식등의대량보유상황보고서(일반),20260907000283,20260907,채형석,
01456011,디어유,376300,K,주식등의대량보유상황보고서(일반),20260907000282,20260907,안종오,
00113465,하나증권,,E,증권발행실적보고서,20260907000280,20260907,하나증권,
00158909,하나은행,004940,E,일괄신고추가서류,20260907000279,20260907,하나은행,
00113465,하나증권,,E,증권발행실적보고서,20260907000278,20260907,하나증권,
00483735,해성옵틱스,076610,K,주주명부폐쇄기간또는기준일설정              ,20260907900511,20260907,해성옵틱스,코
00184667,유진기업,023410,K,타법인주식및출자증권처분결정(종속회사의주요경영사항)              ,20260907900507,20260907,유진기업,코
00130879,서울식품공업,004410,Y,임원ㆍ주요주주특정증권등소유상황보고서,20260907000277,20260907,박순원,
01828546,오르카자산운용,,E,특수관계인의유상증자참여,20260907000275,20260907,오르카자산운용,공
00155276,포스코퓨처엠,003670,Y,임원ㆍ주요주주특정증권등소유상황보고서,20260907000274,20260907,김무철,
01353848,이노벡스,279060,N,주권매매거래정지해제              (상장폐지에 따른 정리매매 개시),20260907600483,20260907,코넥스시장,넥
